"","2015.07909436266","2061.59332225351","2107.86063227227","2164.82471851193","2187.72188890604","2201.42303646281","2205.76098248242","2227.52935099898","2250.90193949552","2263.28056305943","2304.37858857775","2317.66710100319","2338.09085246698","2346.73378018539","2370.75426148406","2398.77506849467","2438.65836720761","2481.05451667851","2524.35790422169","2554.69533972056","2595.40418589069","2625.91479184522","2675.63880230624","2705.98481506684","2729.32566718127","2772.3847433166","2831.23086200971","2846.19567578801","2867.67258909385","2893.01706000729","2919.85587655061","2920.51902747188","2943.85366321333","2974.56592838236","3031.15476580079","3075.94071310995","3109.45581734755","3125.22107344205","3145.31714505115","3188.32311519171","3214.99092989404","3241.29134524867","3243.2008776484","3306.03757466152","3332.91054525562","3369.67751654244","3403.98089355891","3441.40256491132","3462.79820668844","3463.925617949","3486.16741507368","3586.36253589096","3623.65821480727","3709.52205366039","3722.2631360887","3756.8460741084","3794.28335111016","3816.56150522982","3851.89292960668","3884.13171081233","3931.12119921725","3941.25643937403","4001.74725316717","4044.98216666407","4069.69864267829","4086.09806702881","4117.78110579415","4159.27030520675","4179.79293557672","4286.85853771645","4322.06120001325","4327.51513360853","4410.22278415248","4425.37620308285","4515.04505228604","4558.77490203568","4569.7012560675","4617.72100937088","4656.58078392807","4789.80650664603","4799.79023483193","4971.56879976355","5134.78986704832","5301.00694169963","5447.32512428668","5553.030850351","5656.96206489134","5974.69406527675","6188.29488679446","6269.61568805053","6305.65349868753","6350.78531289986","6493.46111887385","6550.31299754334","6660.90527274089","6920.70152430253","7008.2947037106","7572.39971535428","7630.07199289996","7758.19315620688","7932.05180666625","8147.46527264699","8295.86384423448","8301.42871396242","8404.71244449438","8571.11284039941","8986.43819085887","9294.09401263071","10263.4047910483","10843.4901403984","11312.8460324139","11715.2371849158","12073.4922439165","13180.3745936785","13242.9733451087","13784.0403535946","14007.2852026484","15137.5032993567","15880.3465139958"
"CS_1_D1",0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"CS_2_D1",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0
"CS_3_D1",0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"BIS_D1",0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
"BIS_D7",1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0
"HJG_D7",0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1
"PA_D1",0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1
"SCM_D7",0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1
"FPH_D1",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1
